sample_order,pu_location_id,target_datetime
0,138,2025-11-02 05:00:00
1,138,2025-11-02 17:00:00
2,138,2025-11-02 21:00:00
3,138,2025-11-03 04:00:00
4,138,2025-11-03 05:00:00
5,138,2025-11-03 07:00:00
6,138,2025-11-03 11:00:00
7,138,2025-11-03 12:00:00
8,138,2025-11-03 20:00:00
9,138,2025-11-04 09:00:00
10,138,2025-11-04 18:00:00
11,138,2025-11-05 04:00:00
12,138,2025-11-05 08:00:00
13,138,2025-11-05 13:00:00
14,138,2025-11-05 16:00:00
15,138,2025-11-05 21:00:00
16,138,2025-11-06 06:00:00
17,138,2025-11-06 10:00:00
18,138,2025-11-06 11:00:00
19,138,2025-11-07 04:00:00
20,138,2025-11-07 14:00:00
21,138,2025-11-08 03:00:00
22,138,2025-11-08 14:00:00
23,138,2025-11-09 14:00:00
24,138,2025-11-10 05:00:00
25,138,2025-11-10 07:00:00
26,138,2025-11-10 14:00:00
27,138,2025-11-10 19:00:00
28,138,2025-11-10 22:00:00
29,138,2025-11-11 04:00:00
30,138,2025-11-11 10:00:00
31,138,2025-11-11 14:00:00
32,138,2025-11-11 20:00:00
33,138,2025-11-12 06:00:00
34,138,2025-11-12 09:00:00
35,138,2025-11-12 12:00:00
36,138,2025-11-12 17:00:00
37,138,2025-11-13 00:00:00
38,138,2025-11-13 05:00:00
39,138,2025-11-13 09:00:00
40,138,2025-11-13 18:00:00
41,138,2025-11-13 21:00:00
42,138,2025-11-14 02:00:00
43,138,2025-11-14 08:00:00
44,138,2025-11-14 11:00:00
45,138,2025-11-14 14:00:00
46,138,2025-11-14 19:00:00
47,138,2025-11-14 20:00:00
48,138,2025-11-15 00:00:00
49,138,2025-11-15 17:00:00
50,138,2025-11-16 02:00:00
51,138,2025-11-16 10:00:00
52,138,2025-11-17 10:00:00
53,138,2025-11-17 23:00:00
54,138,2025-11-18 07:00:00
55,138,2025-11-18 08:00:00
56,138,2025-11-19 05:00:00
57,138,2025-11-19 11:00:00
58,138,2025-11-19 21:00:00
59,138,2025-11-19 23:00:00
60,138,2025-11-20 01:00:00
61,138,2025-11-20 08:00:00
62,138,2025-11-20 09:00:00
63,138,2025-11-20 12:00:00
64,138,2025-11-20 21:00:00
65,138,2025-11-21 01:00:00
66,138,2025-11-21 02:00:00
67,138,2025-11-21 10:00:00
68,138,2025-11-21 14:00:00
69,138,2025-11-21 19:00:00
70,138,2025-11-21 21:00:00
71,138,2025-11-22 00:00:00
72,138,2025-11-22 03:00:00
73,138,2025-11-22 05:00:00
74,138,2025-11-22 17:00:00
75,138,2025-11-23 05:00:00
76,138,2025-11-23 08:00:00
77,138,2025-11-23 09:00:00
78,138,2025-11-23 16:00:00
79,138,2025-11-23 21:00:00
80,138,2025-11-24 11:00:00
81,138,2025-11-24 20:00:00
82,138,2025-11-25 05:00:00
83,138,2025-11-25 10:00:00
84,138,2025-11-25 14:00:00
85,138,2025-11-25 20:00:00
86,138,2025-11-26 00:00:00
87,138,2025-11-26 16:00:00
88,138,2025-11-26 22:00:00
89,138,2025-11-27 04:00:00
90,138,2025-11-27 18:00:00
91,138,2025-11-27 22:00:00
92,138,2025-11-28 01:00:00
93,138,2025-11-28 11:00:00
94,138,2025-11-28 13:00:00
95,138,2025-11-28 19:00:00
96,138,2025-11-29 06:00:00
97,138,2025-11-29 07:00:00
98,138,2025-11-29 20:00:00
99,138,2025-11-30 12:00:00
100,132,2025-11-01 12:00:00
101,132,2025-11-01 15:00:00
102,132,2025-11-02 03:00:00
103,132,2025-11-02 21:00:00
104,132,2025-11-03 02:00:00
105,132,2025-11-03 08:00:00
106,132,2025-11-03 09:00:00
107,132,2025-11-03 13:00:00
108,132,2025-11-03 14:00:00
109,132,2025-11-03 22:00:00
110,132,2025-11-04 09:00:00
111,132,2025-11-04 20:00:00
112,132,2025-11-05 01:00:00
113,132,2025-11-05 09:00:00
114,132,2025-11-05 18:00:00
115,132,2025-11-05 19:00:00
116,132,2025-11-05 20:00:00
117,132,2025-11-05 23:00:00
118,132,2025-11-06 00:00:00
119,132,2025-11-06 06:00:00
120,132,2025-11-06 10:00:00
121,132,2025-11-07 21:00:00
122,132,2025-11-07 22:00:00
123,132,2025-11-08 05:00:00
124,132,2025-11-08 22:00:00
125,132,2025-11-09 01:00:00
126,132,2025-11-09 05:00:00
127,132,2025-11-09 11:00:00
128,132,2025-11-09 12:00:00
129,132,2025-11-09 13:00:00
130,132,2025-11-10 06:00:00
131,132,2025-11-10 11:00:00
132,132,2025-11-10 21:00:00
133,132,2025-11-10 22:00:00
134,132,2025-11-12 14:00:00
135,132,2025-11-12 20:00:00
136,132,2025-11-12 21:00:00
137,132,2025-11-12 22:00:00
138,132,2025-11-13 03:00:00
139,132,2025-11-13 05:00:00
140,132,2025-11-13 14:00:00
141,132,2025-11-13 19:00:00
142,132,2025-11-13 20:00:00
143,132,2025-11-13 23:00:00
144,132,2025-11-14 03:00:00
145,132,2025-11-14 11:00:00
146,132,2025-11-14 14:00:00
147,132,2025-11-14 20:00:00
148,132,2025-11-15 00:00:00
149,132,2025-11-15 06:00:00
150,132,2025-11-15 09:00:00
151,132,2025-11-15 19:00:00
152,132,2025-11-16 13:00:00
153,132,2025-11-16 15:00:00
154,132,2025-11-17 00:00:00
155,132,2025-11-17 03:00:00
156,132,2025-11-17 06:00:00
157,132,2025-11-17 15:00:00
158,132,2025-11-17 16:00:00
159,132,2025-11-17 21:00:00
160,132,2025-11-18 00:00:00
161,132,2025-11-18 06:00:00
162,132,2025-11-18 10:00:00
163,132,2025-11-18 14:00:00
164,132,2025-11-19 00:00:00
165,132,2025-11-19 04:00:00
166,132,2025-11-19 05:00:00
167,132,2025-11-19 14:00:00
168,132,2025-11-19 21:00:00
169,132,2025-11-20 03:00:00
170,132,2025-11-20 10:00:00
171,132,2025-11-20 12:00:00
172,132,2025-11-20 16:00:00
173,132,2025-11-20 23:00:00
174,132,2025-11-21 11:00:00
175,132,2025-11-21 16:00:00
176,132,2025-11-21 20:00:00
177,132,2025-11-22 02:00:00
178,132,2025-11-22 20:00:00
179,132,2025-11-22 23:00:00
180,132,2025-11-23 13:00:00
181,132,2025-11-23 19:00:00
182,132,2025-11-24 07:00:00
183,132,2025-11-24 14:00:00
184,132,2025-11-24 23:00:00
185,132,2025-11-25 02:00:00
186,132,2025-11-25 21:00:00
187,132,2025-11-26 09:00:00
188,132,2025-11-26 10:00:00
189,132,2025-11-27 05:00:00
190,132,2025-11-27 09:00:00
191,132,2025-11-27 15:00:00
192,132,2025-11-27 19:00:00
193,132,2025-11-28 15:00:00
194,132,2025-11-28 18:00:00
195,132,2025-11-29 06:00:00
196,132,2025-11-29 08:00:00
197,132,2025-11-29 19:00:00
198,132,2025-11-30 07:00:00
199,132,2025-11-30 14:00:00
200,61,2025-11-01 04:00:00
201,61,2025-11-01 08:00:00
202,61,2025-11-01 11:00:00
203,61,2025-11-01 12:00:00
204,61,2025-11-01 16:00:00
205,61,2025-11-03 05:00:00
206,61,2025-11-03 07:00:00
207,61,2025-11-04 00:00:00
208,61,2025-11-04 04:00:00
209,61,2025-11-04 05:00:00
210,61,2025-11-04 09:00:00
211,61,2025-11-04 11:00:00
212,61,2025-11-04 13:00:00
213,61,2025-11-04 15:00:00
214,61,2025-11-04 18:00:00
215,61,2025-11-04 23:00:00
216,61,2025-11-05 04:00:00
217,61,2025-11-05 14:00:00
218,61,2025-11-05 18:00:00
219,61,2025-11-06 05:00:00
220,61,2025-11-06 09:00:00
221,61,2025-11-07 01:00:00
222,61,2025-11-07 20:00:00
223,61,2025-11-08 06:00:00
224,61,2025-11-08 08:00:00
225,61,2025-11-08 09:00:00
226,61,2025-11-08 22:00:00
227,61,2025-11-09 00:00:00
228,61,2025-11-09 01:00:00
229,61,2025-11-09 07:00:00
230,61,2025-11-09 08:00:00
231,61,2025-11-09 10:00:00
232,61,2025-11-09 15:00:00
233,61,2025-11-09 17:00:00
234,61,2025-11-10 20:00:00
235,61,2025-11-11 23:00:00
236,61,2025-11-12 05:00:00
237,61,2025-11-12 08:00:00
238,61,2025-11-12 21:00:00
239,61,2025-11-12 23:00:00
240,61,2025-11-13 08:00:00
241,61,2025-11-13 12:00:00
242,61,2025-11-14 01:00:00
243,61,2025-11-14 02:00:00
244,61,2025-11-14 13:00:00
245,61,2025-11-14 15:00:00
246,61,2025-11-15 00:00:00
247,61,2025-11-15 03:00:00
248,61,2025-11-15 13:00:00
249,61,2025-11-16 13:00:00
250,61,2025-11-16 15:00:00
251,61,2025-11-16 16:00:00
252,61,2025-11-17 20:00:00
253,61,2025-11-18 03:00:00
254,61,2025-11-18 23:00:00
255,61,2025-11-19 00:00:00
256,61,2025-11-19 10:00:00
257,61,2025-11-19 15:00:00
