pu_location_id,target_datetime,lag,source_datetime,source_demand,feature_value,matches
7,2025-01-22 00:00:00,1,2025-01-21 23:00:00,167,167,True
7,2025-01-22 00:00:00,24,2025-01-21 00:00:00,122,122,True
7,2025-01-22 00:00:00,168,2025-01-15 00:00:00,119,119,True
7,2025-01-22 00:00:00,336,2025-01-08 00:00:00,133,133,True
7,2025-01-22 00:00:00,504,2025-01-01 00:00:00,716,716,True
7,2025-01-22 01:00:00,1,2025-01-22 00:00:00,120,120,True
7,2025-01-22 01:00:00,24,2025-01-21 01:00:00,89,89,True
7,2025-01-22 01:00:00,168,2025-01-15 01:00:00,84,84,True
7,2025-01-22 01:00:00,336,2025-01-08 01:00:00,98,98,True
7,2025-01-22 01:00:00,504,2025-01-01 01:00:00,821,821,True
7,2025-07-01 00:00:00,1,2025-06-30 23:00:00,170,170,True
7,2025-07-01 00:00:00,24,2025-06-30 00:00:00,193,193,True
7,2025-07-01 00:00:00,168,2025-06-24 00:00:00,123,123,True
7,2025-07-01 00:00:00,336,2025-06-17 00:00:00,110,110,True
7,2025-07-01 00:00:00,504,2025-06-10 00:00:00,116,116,True
7,2025-08-01 00:00:00,1,2025-07-31 23:00:00,238,238,True
7,2025-08-01 00:00:00,24,2025-07-31 00:00:00,152,152,True
7,2025-08-01 00:00:00,168,2025-07-25 00:00:00,225,225,True
7,2025-08-01 00:00:00,336,2025-07-18 00:00:00,227,227,True
7,2025-08-01 00:00:00,504,2025-07-11 00:00:00,200,200,True
7,2025-12-01 00:00:00,1,2025-11-30 23:00:00,170,170,True
7,2025-12-01 00:00:00,24,2025-11-30 00:00:00,413,413,True
7,2025-12-01 00:00:00,168,2025-11-24 00:00:00,189,189,True
7,2025-12-01 00:00:00,336,2025-11-17 00:00:00,182,182,True
7,2025-12-01 00:00:00,504,2025-11-10 00:00:00,188,188,True
141,2025-01-22 00:00:00,1,2025-01-21 23:00:00,81,81,True
141,2025-01-22 00:00:00,24,2025-01-21 00:00:00,43,43,True
141,2025-01-22 00:00:00,168,2025-01-15 00:00:00,43,43,True
141,2025-01-22 00:00:00,336,2025-01-08 00:00:00,46,46,True
141,2025-01-22 00:00:00,504,2025-01-01 00:00:00,500,500,True
141,2025-01-22 01:00:00,1,2025-01-22 00:00:00,42,42,True
141,2025-01-22 01:00:00,24,2025-01-21 01:00:00,21,21,True
141,2025-01-22 01:00:00,168,2025-01-15 01:00:00,34,34,True
141,2025-01-22 01:00:00,336,2025-01-08 01:00:00,34,34,True
141,2025-01-22 01:00:00,504,2025-01-01 01:00:00,350,350,True
141,2025-07-01 00:00:00,1,2025-06-30 23:00:00,80,80,True
141,2025-07-01 00:00:00,24,2025-06-30 00:00:00,51,51,True
141,2025-07-01 00:00:00,168,2025-06-24 00:00:00,64,64,True
141,2025-07-01 00:00:00,336,2025-06-17 00:00:00,61,61,True
141,2025-07-01 00:00:00,504,2025-06-10 00:00:00,63,63,True
141,2025-08-01 00:00:00,1,2025-07-31 23:00:00,128,128,True
141,2025-08-01 00:00:00,24,2025-07-31 00:00:00,90,90,True
141,2025-08-01 00:00:00,168,2025-07-25 00:00:00,79,79,True
141,2025-08-01 00:00:00,336,2025-07-18 00:00:00,77,77,True
141,2025-08-01 00:00:00,504,2025-07-11 00:00:00,76,76,True
141,2025-12-01 00:00:00,1,2025-11-30 23:00:00,54,54,True
141,2025-12-01 00:00:00,24,2025-11-30 00:00:00,122,122,True
141,2025-12-01 00:00:00,168,2025-11-24 00:00:00,50,50,True
141,2025-12-01 00:00:00,336,2025-11-17 00:00:00,46,46,True
141,2025-12-01 00:00:00,504,2025-11-10 00:00:00,47,47,True
256,2025-01-22 00:00:00,1,2025-01-21 23:00:00,180,180,True
256,2025-01-22 00:00:00,24,2025-01-21 00:00:00,110,110,True
256,2025-01-22 00:00:00,168,2025-01-15 00:00:00,126,126,True
256,2025-01-22 00:00:00,336,2025-01-08 00:00:00,119,119,True
256,2025-01-22 00:00:00,504,2025-01-01 00:00:00,957,957,True
256,2025-01-22 01:00:00,1,2025-01-22 00:00:00,92,92,True
256,2025-01-22 01:00:00,24,2025-01-21 01:00:00,63,63,True
256,2025-01-22 01:00:00,168,2025-01-15 01:00:00,75,75,True
256,2025-01-22 01:00:00,336,2025-01-08 01:00:00,60,60,True
256,2025-01-22 01:00:00,504,2025-01-01 01:00:00,813,813,True
256,2025-07-01 00:00:00,1,2025-06-30 23:00:00,176,176,True
256,2025-07-01 00:00:00,24,2025-06-30 00:00:00,196,196,True
256,2025-07-01 00:00:00,168,2025-06-24 00:00:00,184,184,True
256,2025-07-01 00:00:00,336,2025-06-17 00:00:00,163,163,True
256,2025-07-01 00:00:00,504,2025-06-10 00:00:00,137,137,True
256,2025-08-01 00:00:00,1,2025-07-31 23:00:00,283,283,True
256,2025-08-01 00:00:00,24,2025-07-31 00:00:00,201,201,True
256,2025-08-01 00:00:00,168,2025-07-25 00:00:00,270,270,True
256,2025-08-01 00:00:00,336,2025-07-18 00:00:00,266,266,True
256,2025-08-01 00:00:00,504,2025-07-11 00:00:00,266,266,True
256,2025-12-01 00:00:00,1,2025-11-30 23:00:00,153,153,True
256,2025-12-01 00:00:00,24,2025-11-30 00:00:00,365,365,True
256,2025-12-01 00:00:00,168,2025-11-24 00:00:00,93,93,True
256,2025-12-01 00:00:00,336,2025-11-17 00:00:00,138,138,True
256,2025-12-01 00:00:00,504,2025-11-10 00:00:00,144,144,True
