feature,importance
lag_1,51.330063
lag_336,22.16599
lag_168,19.858315
hour,11.691668
lag_24,9.241208
lag_504,7.9262342
dayofweek,3.6361265
zone_138,0.59996796
zone_132,0.49013472
zone_80,0.3576588
zone_148,0.28536817
zone_36,0.26906738
zone_79,0.23538181
zone_255,0.23220004
zone_161,0.22960432
zone_230,0.2080404
zone_37,0.20231545
is_holiday,0.19997364
zone_246,0.18075879
zone_249,0.16650149
zone_256,0.15689953
zone_236,0.14035365
zone_237,0.13419719
zone_216,0.13151099
zone_76,0.13027807
zone_48,0.13027802
zone_112,0.12700608
zone_162,0.12252073
zone_164,0.11613247
zone_97,0.110455014
zone_39,0.11016876
zone_234,0.10809083
zone_163,0.108021826
zone_129,0.105578005
zone_144,0.104215235
zone_145,0.095170334
zone_231,0.09384113
zone_61,0.09060548
zone_68,0.08709226
zone_141,0.08243829
zone_42,0.0772811
zone_181,0.07350383
zone_142,0.073304735
zone_95,0.07143489
zone_7,0.07032057
zone_170,0.06974875
zone_130,0.06293172
zone_244,0.06271293
zone_168,0.061393846
zone_225,0.057505816
zone_74,0.053824104
zone_82,0.04884093
zone_89,0.048511576
zone_90,0.04344527
zone_41,0.034794956
zone_188,0.03218879
zone_17,0.030496111
zone_107,0.025931256
