feature,importance
lag_1,59.471336
median_lag_3w,50.816757
hour,15.018647
lag_24,11.183068
dayofweek,4.553675
zone_138,0.73939216
is_holiday,0.7229337
zone_132,0.6774089
zone_80,0.38043907
zone_148,0.3350375
zone_230,0.32049063
zone_37,0.32035592
zone_36,0.302078
zone_79,0.29560336
zone_161,0.29138738
zone_255,0.26576927
zone_246,0.2446841
zone_256,0.20184606
zone_249,0.1943779
zone_76,0.19187361
zone_112,0.17412552
zone_162,0.1654799
zone_236,0.16168569
zone_237,0.15687767
zone_68,0.14822161
zone_234,0.14610909
zone_48,0.1423405
zone_231,0.13820039
zone_216,0.13705535
zone_144,0.13491738
zone_163,0.130535
zone_164,0.12834266
zone_39,0.11366675
zone_129,0.11346046
zone_142,0.1128438
zone_61,0.112776525
zone_97,0.11068787
zone_181,0.103257455
zone_244,0.09732893
zone_145,0.09621795
zone_42,0.09485972
zone_168,0.09244994
zone_170,0.08977472
zone_141,0.08302266
zone_225,0.07729645
zone_89,0.07722664
zone_7,0.07617544
zone_74,0.07416209
zone_130,0.07207758
zone_95,0.06883189
zone_17,0.060201783
zone_41,0.055372998
zone_82,0.055366784
zone_188,0.044361427
zone_107,0.044209886
zone_90,0.039527707
