feature,importance
lag_1,48.950294
median_lag_3w,47.74513
hour,11.926324
lag_24,9.353393
lag_168,6.97235
dayofweek,3.514
zone_138,0.59629357
zone_132,0.57790166
is_holiday,0.44279385
zone_80,0.37106273
zone_148,0.32408217
zone_36,0.28320947
zone_79,0.27052656
zone_255,0.2456033
zone_230,0.2433565
zone_37,0.24062622
zone_161,0.23273127
zone_246,0.20721214
zone_256,0.19608724
zone_112,0.17186409
zone_249,0.15967394
zone_236,0.14151944
zone_48,0.13850918
zone_76,0.13828652
zone_162,0.12667355
zone_164,0.12571052
zone_145,0.120931506
zone_231,0.11687049
zone_144,0.11042877
zone_163,0.109759256
zone_97,0.1090635
zone_237,0.108760916
zone_234,0.10601439
zone_68,0.103911765
zone_216,0.10234058
zone_61,0.09394806
zone_95,0.09177692
zone_129,0.08582185
zone_39,0.08376121
zone_225,0.08070643
zone_141,0.08011318
zone_181,0.07875923
zone_42,0.07671979
zone_170,0.07347662
zone_142,0.07179632
zone_168,0.07107197
zone_7,0.06810166
zone_244,0.06407734
zone_130,0.056270793
zone_82,0.055596862
zone_17,0.049244545
zone_90,0.042333573
zone_74,0.038497467
zone_89,0.037789326
zone_107,0.027285013
zone_41,0.025987148
zone_188,0.02252903
