trial_number,state,mae,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree
0,COMPLETE,26.633393481122866,300,0.03619824155310539,23,20,0.7912726728878613
1,COMPLETE,25.19311422658697,500,0.042645919421477295,31,60,0.984665661176
2,COMPLETE,25.86484583029483,200,0.05096448481069541,47,20,0.9908753883293675
3,COMPLETE,25.804760426574834,300,0.03337275830320429,47,20,0.9406590942262119
4,COMPLETE,25.079132053061322,300,0.08007716757977894,31,40,0.7932946965146986
5,COMPLETE,25.11001066878558,500,0.03464611511045181,47,20,0.8909231233791342
6,COMPLETE,24.101978407140944,400,0.0745045654522003,63,60,0.9677676995469933
7,COMPLETE,25.463010062355604,400,0.039473324652230316,31,100,0.7969608796062265
8,COMPLETE,24.325212960051374,500,0.040623081643287436,63,80,0.7434684616273669
9,COMPLETE,27.052856815840343,300,0.03993713216845514,15,40,0.8772678829564725
10,COMPLETE,24.00511902473153,400,0.08829528337109094,63,60,0.7102769413860781
11,COMPLETE,23.933537943648915,400,0.09580315945334458,63,60,0.7028278263741496
12,COMPLETE,23.900778334583123,400,0.09604140770300632,63,60,0.7050184708087993
13,COMPLETE,23.647132354334005,600,0.09936433485182797,63,60,0.701090594045815
14,COMPLETE,23.832446083935324,600,0.06816340615892826,63,60,0.7612194134089818
15,COMPLETE,24.6911905468973,600,0.06372691703123366,23,100,0.7532337161444234
16,COMPLETE,25.26324326790836,600,0.0630672236508373,15,80,0.7528668204316342
17,COMPLETE,23.92038033104921,600,0.0631870615727493,63,60,0.8321957343190162
18,COMPLETE,24.065038685049167,600,0.05094395352345332,63,60,0.8356978938632825
19,COMPLETE,23.763808890943146,600,0.07734500098300817,63,60,0.7365724326979888
