trial_number,state,mae,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree
0,COMPLETE,26.46446276279547,300,0.03619824155310539,5,1,0.7912726728878613,0.8574269294896714
1,COMPLETE,25.71833896384444,400,0.04663200358074232,5,10,0.9896896099223678,0.9425192044349383
2,COMPLETE,25.558296527907412,400,0.05445512210124113,5,7,0.9818496824692567,0.9684482051282947
3,COMPLETE,25.483705122778492,300,0.044384319929505325,6,10,0.9316734307889972,0.7596147044602517
4,COMPLETE,25.82907613064653,300,0.032797265029146275,6,7,0.9661638227728979,0.8416644775485848
5,COMPLETE,25.96061582758552,600,0.054364635001741234,4,7,0.8231148769106889,0.9266653415629146
6,COMPLETE,24.022220132754693,600,0.07937253021119645,8,5,0.7683805487625824,0.8281323365878769
7,COMPLETE,25.697413042283827,300,0.039197350102964164,6,5,0.8491745517677156,0.7902634929450308
8,COMPLETE,24.534707543144943,400,0.04195846274369025,8,5,0.810334939815776,0.8896917491780738
9,COMPLETE,25.15006951563461,500,0.03755327515907808,6,7,0.9810189966210203,0.7412562832437979
10,COMPLETE,24.008071731591738,600,0.08976160046675062,8,3,0.7056128902783659,0.8140878880755432
11,COMPLETE,24.0926443299555,600,0.09257732617024325,8,3,0.7026305490163499,0.8119430286988208
12,COMPLETE,23.94724280092024,600,0.08765278270560954,8,3,0.704106704321965,0.7067952975926812
13,COMPLETE,25.057618264152158,200,0.07374735732906973,7,3,0.7056762847809283,0.7259106765457811
14,COMPLETE,23.926676070356883,600,0.09883421474126812,8,3,0.7457253946431004,0.7018871933563432
15,COMPLETE,23.980788499264307,600,0.06996557950568422,8,3,0.7540450297774149,0.7055415832432406
16,COMPLETE,27.115996719872758,200,0.06598963750025752,4,3,0.7444400873632424,0.7653251344730284
17,COMPLETE,24.088268885562016,500,0.09936087581445849,7,1,0.8985310643851891,0.7007349730900271
18,COMPLETE,23.879170040142153,600,0.08441478439540696,8,3,0.7378818937795832,0.7750028331113095
19,COMPLETE,23.998890328420106,600,0.0625320865076169,8,3,0.8687538571076024,0.7797818879389092
