stage,model,variant,fold,status,missing_artifacts
hpo,xgboost,A,hpo,complete,
baseline_hpo,xgboost,A,hpo,complete,
tuned_hpo,xgboost,A,hpo,complete,
hpo,lightgbm,A,hpo,complete,
baseline_hpo,lightgbm,A,hpo,complete,
tuned_hpo,lightgbm,A,hpo,complete,
core,xgboost,A,fold1,complete,
core,lightgbm,A,fold1,complete,
core,xgboost,A,fold2,complete,
core,lightgbm,A,fold2,complete,
core,xgboost,A,fold3,complete,
core,lightgbm,A,fold3,complete,
core,xgboost,A,fold4,complete,
core,lightgbm,A,fold4,complete,
core,xgboost,A,final_test,complete,
core,lightgbm,A,final_test,complete,
core,xgboost,B,fold1,complete,
core,lightgbm,B,fold1,complete,
core,xgboost,B,fold2,complete,
core,lightgbm,B,fold2,complete,
core,xgboost,B,fold3,complete,
core,lightgbm,B,fold3,complete,
core,xgboost,B,fold4,complete,
core,lightgbm,B,fold4,complete,
core,xgboost,B,final_test,complete,
core,lightgbm,B,final_test,complete,
core,xgboost,C,fold1,complete,
core,lightgbm,C,fold1,complete,
core,xgboost,C,fold2,complete,
core,lightgbm,C,fold2,complete,
core,xgboost,C,fold3,complete,
core,lightgbm,C,fold3,complete,
core,xgboost,C,fold4,complete,
core,lightgbm,C,fold4,complete,
core,xgboost,C,final_test,complete,
core,lightgbm,C,final_test,complete,
