variant,model,fold,mae,rmse,wape
A,xgboost,fold1,20.508421134330252,34.463349759489915,8.833614557472847
A,lightgbm,fold1,20.38255199978257,33.483142446750726,8.779398808147528
A,xgboost,fold2,23.74548532484513,40.417738230133466,9.632546751461494
A,lightgbm,fold2,23.633559396334906,39.78199676130347,9.587143100016753
A,xgboost,fold3,23.514796594263164,40.910209965965535,8.987744958250953
A,lightgbm,fold3,23.327906224722547,39.98491635355659,8.916312361764275
A,xgboost,fold4,27.473281969474836,51.12183433243923,10.516726169487082
A,lightgbm,fold4,27.171302413020445,50.36872964015566,10.401128902748342
A,xgboost,final_test,28.371564825023373,46.476538873726305,10.84173962899996
A,lightgbm,final_test,28.18253535196008,45.49093948351394,10.769505039833001
B,xgboost,fold1,20.512741087345027,34.19616945312689,8.83547529553693
B,lightgbm,fold1,20.247255745465495,33.186961405091374,8.72112250526304
B,xgboost,fold2,23.502941099488073,39.87739235650259,9.534156739293396
B,lightgbm,fold2,23.364553957987834,39.26763058400322,9.478018884367877
B,xgboost,fold3,23.374979448325693,40.82127390077402,8.93430452794831
B,lightgbm,fold3,23.15238251392479,39.745371035174294,8.84922429062353
B,xgboost,fold4,27.048130260199308,50.987604907170244,10.35397880963732
B,lightgbm,fold4,26.645654356902725,49.46896747610065,10.199911710209955
B,xgboost,final_test,27.454293643274614,44.949860137243796,10.491219120771456
B,lightgbm,final_test,27.047857775904568,43.68389433940631,10.33590615593892
C,xgboost,fold1,20.415363961304386,34.105457548044164,8.793531940047828
C,lightgbm,fold1,20.26097576149956,33.268316186917,8.727032142702871
C,xgboost,fold2,23.62327390451895,40.40871333443059,9.582970707689386
C,lightgbm,fold2,23.403854703044278,39.515200679480074,9.493961547107535
C,xgboost,fold3,23.496289413126725,41.33499682217175,8.980671206909594
C,lightgbm,fold3,23.16767046560448,39.67628353458934,8.855067599115712
C,xgboost,fold4,27.249651109715302,51.22945982623809,10.431120652179354
C,lightgbm,fold4,26.7608648151901,49.654667475149154,10.24401408003296
C,xgboost,final_test,28.10805182448318,46.48643051889456,10.741042351344216
C,lightgbm,final_test,27.351573986813264,44.24751502601645,10.451966447293534
