variant,model,feature,n_features_ranked,n_features_non_zone,mean_pairwise_spearman_all_features,mean_pairwise_spearman_non_zone,rank_min,rank_max,rank_range,ranks_by_fold,importance_swing_pct
A,xgboost,lag_168,58,8,0.9751863586493998,1.0,2,2,0,2→2→2→2,11.002463407390692
A,xgboost,lag_336,58,8,0.9751863586493998,1.0,3,3,0,3→3→3→3,14.181120487153148
A,xgboost,lag_504,58,8,0.9751863586493998,1.0,6,6,0,6→6→6→6,15.131820235913947
A,lightgbm,lag_168,58,8,0.9835430188563169,1.0,2,2,0,2→2→2→2,4.896688781306564
A,lightgbm,lag_336,58,8,0.9835430188563169,1.0,3,3,0,3→3→3→3,11.345021267653435
A,lightgbm,lag_504,58,8,0.9835430188563169,1.0,6,6,0,6→6→6→6,22.205908802705856
B,xgboost,median_lag_3w,56,6,0.9772271588061062,1.0,1,1,0,1→1→1→1,8.555747355375557
B,lightgbm,median_lag_3w,56,6,0.9827067669172932,0.9714285714285715,1,2,1,1→1→2→1,9.944795196855887
C,xgboost,lag_168,57,7,0.9705837870538415,0.9821428571428573,5,5,0,5→5→5→5,19.826792036901512
C,xgboost,median_lag_3w,57,7,0.9705837870538415,0.9821428571428573,1,2,1,1→2→2→2,3.1948499105867425
C,lightgbm,lag_168,57,7,0.9811489931725869,1.0,5,5,0,5→5→5→5,16.659190915562146
C,lightgbm,median_lag_3w,57,7,0.9811489931725869,1.0,1,1,0,1→1→1→1,7.821391969153862
