variant,model,fold,feature,importance
A,xgboost,fold1,lag_336,22.16599
A,xgboost,fold1,lag_168,19.858315
A,xgboost,fold1,lag_504,7.9262342
A,lightgbm,fold1,lag_168,23.385751883089892
A,lightgbm,fold1,lag_336,20.55473595295482
A,lightgbm,fold1,lag_504,7.369017986890603
A,xgboost,fold2,lag_168,22.407999
A,xgboost,fold2,lag_336,21.48775
A,xgboost,fold2,lag_504,7.4306564
A,lightgbm,fold2,lag_168,24.15706102913094
A,lightgbm,fold2,lag_336,21.905608369951533
A,lightgbm,fold2,lag_504,6.880669532992577
A,xgboost,fold3,lag_168,22.2871
A,xgboost,fold3,lag_336,19.228788
A,xgboost,fold3,lag_504,6.9466853
A,lightgbm,fold3,lag_168,24.20660148380001
A,lightgbm,fold3,lag_336,19.6643261879502
A,lightgbm,fold3,lag_504,6.760821861681151
A,xgboost,fold4,lag_168,23.560041
A,xgboost,fold4,lag_336,21.980705
A,xgboost,fold4,lag_504,7.6344857
A,lightgbm,fold4,lag_168,24.748936356147897
A,lightgbm,fold4,lag_336,20.789028305329825
A,lightgbm,fold4,lag_504,8.45691984349991
A,xgboost,final_test,lag_168,22.535467
A,xgboost,final_test,lag_336,18.326271
A,xgboost,final_test,lag_504,8.702887
A,lightgbm,final_test,lag_168,23.82555344856068
A,lightgbm,final_test,lag_336,18.02641682334272
A,lightgbm,final_test,lag_504,8.24210499103861
B,xgboost,fold1,median_lag_3w,52.65059
B,lightgbm,fold1,median_lag_3w,51.95475843065944
B,xgboost,fold2,median_lag_3w,53.74208
B,lightgbm,fold2,median_lag_3w,53.577736017483495
B,xgboost,fold3,median_lag_3w,53.471455
B,lightgbm,fold3,median_lag_3w,52.0304952751702
B,xgboost,fold4,median_lag_3w,56.8085
B,lightgbm,fold4,median_lag_3w,57.21968558135233
B,xgboost,final_test,median_lag_3w,51.071117
B,lightgbm,final_test,median_lag_3w,52.50642003693456
C,xgboost,fold1,median_lag_3w,52.583824
C,xgboost,fold1,lag_168,4.449181
C,lightgbm,fold1,median_lag_3w,51.97807489481136
C,lightgbm,fold1,lag_168,6.07935381736626
C,xgboost,fold2,median_lag_3w,54.644226
C,xgboost,fold2,lag_168,4.6981936
C,lightgbm,fold2,median_lag_3w,52.37814556083214
C,lightgbm,fold2,lag_168,6.172192659734616
C,xgboost,fold3,median_lag_3w,54.231194
C,xgboost,fold3,lag_168,4.813328
C,lightgbm,fold3,median_lag_3w,52.48650709410448
C,lightgbm,fold3,lag_168,6.47822678724501
C,xgboost,fold4,median_lag_3w,57.38818
C,xgboost,fold4,lag_168,5.6365666
C,lightgbm,fold4,median_lag_3w,55.92336949418431
C,lightgbm,fold4,lag_168,7.165482340527334
C,xgboost,final_test,median_lag_3w,52.07734
C,xgboost,final_test,lag_168,5.216109
C,lightgbm,final_test,median_lag_3w,49.43997318931465
C,lightgbm,final_test,lag_168,6.601039948101086
