variant,model,fold,weekly_group_importance
A,xgboost,fold1,55.410118103027344
A,lightgbm,fold1,49.87433658825095
A,xgboost,fold2,58.4194221496582
A,lightgbm,fold2,50.44103715232154
A,xgboost,fold3,55.94383239746094
A,lightgbm,fold3,47.66658903391945
A,xgboost,fold4,58.45849609375
A,lightgbm,fold4,51.55441413047729
A,xgboost,final_test,54.4738655090332
A,lightgbm,final_test,49.18418531169027
B,xgboost,fold1,46.615257263183594
B,lightgbm,fold1,54.60145239073909
B,xgboost,fold2,46.99245834350586
B,lightgbm,fold2,55.819703791308925
B,xgboost,fold3,48.257999420166016
B,lightgbm,fold3,56.007065935458684
B,xgboost,fold4,50.81675720214844
B,lightgbm,fold4,60.0505153205625
B,xgboost,final_test,48.760223388671875
B,lightgbm,final_test,57.603220995649416
C,xgboost,fold1,53.7783088684082
C,lightgbm,fold1,61.324443157123426
C,xgboost,fold2,54.71747970581055
C,lightgbm,fold2,63.1464683777361
C,xgboost,fold3,54.57065200805664
C,lightgbm,fold3,64.7004784847797
C,xgboost,fold4,56.955623626708984
C,lightgbm,fold4,68.79909704494504
C,xgboost,final_test,54.02461624145508
C,lightgbm,final_test,66.09471808464413
